LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100.0 6100 xlo xhi
-100.0 6100 ylo yhi
-100.0 6100 zlo zhi

Masses

1 221851
2 422051

Atoms

526 2  783.288 5377.326 1098.977
527 2  5999.999 3894.484 1801.462
528 2  713.120 1586.126 4266.050
529 2  5999.574 4830.320 4672.344
530 2  0.002 3160.072 629.073
531 2  2222.475 592.337 2134.122
532 2  5003.833 5856.408 0.000
533 2  0.747 4426.694 3801.120
534 2  0.000 2197.335 2160.802
535 2  5071.752 5982.440 3200.409
536 2  0.000 4871.002 4850.033
537 2  3435.308 5999.570 5999.874
538 2  1460.513 5999.905 1561.723
539 2  22.251 5941.020 5976.013
540 2  0.000 3850.522 4659.096
541 2  3137.245 0.635 2289.875
542 2  5301.879 5965.288 5974.303
543 2  2664.480 2447.824 2416.194
544 2  2483.380 5397.358 566.713
545 2  5963.185 3911.006 0.000
546 2  0.000 1179.586 2684.156
547 2  2760.142 5990.066 5940.737
548 2  1290.537 2839.262 3244.730
549 2  947.922 5999.998 697.014
550 2  1616.343 2660.404 2109.725
551 2  1224.973 1400.958 181.937
552 2  4799.696 4550.417 2104.531
553 2  708.177 1453.534 299.584
554 2  2708.162 0.000 4501.024
555 2  1043.727 363.335 946.997
556 2  5026.597 3620.908 1762.801
557 2  255.301 0.000 5290.915
558 2  1678.433 3614.872 0.000
559 2  6000.000 5262.618 2904.162
560 2  0.000 1519.154 1386.311
561 2  5990.936 2624.609 5984.569
562 2  4853.934 861.014 1032.706
563 2  0.000 969.429 5580.177
564 2  1476.240 2369.194 255.144
565 2  15.896 250.921 3546.289
566 2  4672.730 5585.774 4539.096
567 2  594.447 12.352 181.525
568 2  1156.007 0.000 2863.711
569 2  1865.877 0.000 220.256
570 2  538.641 0.000 654.411
571 2  2420.362 9.485 3.112
572 2  270.495 1368.686 774.014
573 2  1918.591 495.866 1156.191
574 2  2200.346 0.000 811.087
575 2  290.189 1959.586 1129.956
576 2  339.417 5967.088 3624.747
577 2  2063.083 408.861 0.000
578 2  1966.216 2671.200 1017.724
579 2  812.296 1337.449 423.937
580 2  436.374 674.531 807.625
581 2  853.163 596.038 1483.606
582 2  4472.812 484.187 4450.593
583 2  747.136 988.297 638.084
584 2  1687.806 584.138 4970.360
585 2  207.168 1559.856 867.390
586 2  305.894 820.103 841.295
587 2  3301.567 0.579 3990.428
588 2  2741.453 0.000 904.393
589 2  1259.025 907.639 137.106
590 2  689.778 764.599 1232.473
591 2  935.210 874.142 1033.119
592 2  2490.862 5101.337 5370.610
593 2  0.000 1603.566 238.123
594 2  5.349 1049.066 1170.645
595 2  471.916 1882.485 536.951
596 2  1411.275 1076.828 635.792
597 2  302.244 16.062 2045.597
598 2  1240.213 1042.311 991.811
599 2  649.088 235.899 350.638
600 2  2626.868 47.177 1219.278
601 2  3684.270 4736.253 3396.727
602 2  931.278 382.407 164.969
603 2  1289.406 1218.373 2023.543
604 2  864.243 313.591 840.113
605 2  1122.756 723.918 555.939
606 2  1818.419 411.115 260.192
607 2  941.857 1250.718 704.152
608 2  555.074 1170.832 0.000
609 2  3524.261 1900.041 2766.616
610 2  56.325 1164.354 1746.538
611 2  0.000 801.337 2071.639
612 2  1668.921 1507.945 872.951
613 2  1720.523 657.643 573.766
614 2  0.440 121.529 1065.952
615 2  1084.836 551.791 463.111
616 2  2708.251 196.181 399.432
617 2  0.000 1123.700 1382.439
618 2  571.336 785.416 875.092
619 2  1149.613 0.000 1055.133
620 2  879.107 589.669 968.816
621 2  389.608 508.856 1013.425
622 2  1716.335 4795.317 1562.868
623 2  780.204 776.385 426.349
624 2  478.037 249.761 591.633
625 2  36.349 1879.535 882.337
626 2  893.174 503.566 791.070
627 2  2164.499 474.195 1408.703
628 2  152.940 1128.409 191.564
629 2  3076.369 533.010 163.684
630 2  153.758 101.710 352.396
631 2  1317.620 721.178 856.992
632 2  535.675 2242.986 1198.191
633 2  990.453 484.354 1094.377
634 2  1206.328 598.114 2624.482
635 2  507.554 903.094 1195.624
636 2  830.974 701.033 2754.779
637 2  981.703 1283.986 512.201
638 2  1195.761 1495.931 794.998
639 2  1294.891 0.000 1830.439
640 2  5997.352 5999.588 5134.984
641 2  377.363 80.709 717.987
642 2  434.546 1115.023 523.580
643 2  2332.413 2429.022 4281.180
644 2  731.107 628.143 1095.085
645 2  954.200 226.579 652.597
646 2  1109.934 1205.376 301.255
647 2  1075.685 548.070 875.925
648 2  1115.372 436.483 264.853
649 2  550.793 873.504 475.718
650 2  0.000 2762.931 3414.570
651 2  16.628 864.589 1041.678
652 2  0.000 609.885 1118.722
653 2  206.234 599.915 800.080
654 2  0.000 1330.396 2071.136
655 2  203.340 627.589 1022.302
656 2  1465.032 2535.929 2221.594
657 2  1056.354 1008.470 203.888
658 2  1792.835 1876.945 327.190
659 2  1045.754 303.061 1151.731
660 2  701.130 1270.786 1845.880
661 2  100.349 555.786 1310.155
662 2  2731.575 798.832 2534.826
663 2  872.267 1459.342 789.868
664 2  2516.917 5076.131 3534.153
665 2  2256.553 1831.842 2515.606
