LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

0.0 6000 xlo xhi
0.0 6000 ylo yhi
0.0 6000 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

304 1  426.979 1381.418 683.322
305 1  1131.246 289.241 516.093
306 1  247.152 497.660 491.935
307 1  951.125 1191.132 118.959
308 1  110.785 397.312 1233.342
309 1  531.057 213.704 726.748
310 1  0.000 777.045 1051.579
311 1  297.736 1207.144 466.671
312 1  375.680 117.514 2384.522
313 1  464.530 1062.610 517.204
314 1  18.052 1326.939 874.584
315 1  561.897 1073.573 590.854
316 1  996.205 906.442 451.332
317 1  176.754 867.671 511.136
318 1  638.149 1189.079 4.567
319 1  699.915 472.607 0.000
320 1  112.911 1434.435 321.146
321 1  301.578 386.146 837.132
322 1  406.290 1178.005 401.859
323 1  343.930 247.637 207.512
324 1  267.614 0.000 304.257
325 1  276.549 1315.925 557.331
326 1  1773.399 486.945 463.913
327 1  1255.553 4266.367 308.788
328 1  451.471 776.904 267.182
329 1  828.722 264.592 911.214
330 1  605.829 0.270 248.442
331 1  434.993 284.140 257.371
332 1  434.056 45.252 638.081
333 1  882.034 744.361 421.481
334 1  215.153 917.744 700.587
335 1  1507.061 3234.054 4265.303
336 1  731.621 835.814 461.987
337 1  937.353 954.572 212.295
338 1  157.412 473.450 813.903
339 1  924.079 866.817 0.000
340 1  116.887 624.423 554.138
341 1  230.136 91.839 162.337
342 1  1004.656 431.982 1174.003
343 1  519.373 671.653 4750.298
344 1  564.067 900.439 634.405
345 1  591.639 1404.138 0.000
346 1  126.241 851.679 854.293
347 1  643.095 627.625 868.889
348 1  561.681 816.842 334.371
349 1  224.406 0.000 462.316
350 1  4126.038 2626.211 1316.416
351 1  755.923 295.729 276.839
352 1  356.373 381.565 739.396
353 1  115.716 587.401 817.579
354 1  14.885 995.037 749.180
355 1  638.935 140.147 852.557
356 1  1042.796 1019.061 199.332
357 1  197.907 1021.643 1103.063
358 1  2411.135 433.290 1028.087
359 1  939.105 667.704 574.692
360 1  1235.893 1447.835 3991.124
361 1  3284.781 3373.343 151.095
362 1  545.748 137.278 454.863
363 1  1700.916 1385.351 1013.464
364 1  398.430 440.368 70.450
365 1  1928.394 1497.382 425.309
366 1  187.815 570.443 412.177
367 1  141.373 283.025 945.879
368 1  326.230 3.863 1847.627
369 1  965.739 856.770 2336.706
370 1  1689.129 1205.964 491.069
371 1  672.018 1144.367 415.943
372 1  496.999 1147.538 317.013
373 1  814.964 509.147 1445.702
