LAMMPS data file, author Jerry Qin

1000 atoms
2 atom types
0 bonds
0 angles

-200.0 3200 xlo xhi
-200.0 3200 ylo yhi
-200.0 3200 zlo zhi

Masses

1 221851.569
2 422051.5699

Atoms

300 1  301.209 281.197 854.034
301 1  1024.336 37.696 372.353
302 1  80.210 371.233 1031.249
303 1  450.383 729.452 643.425
304 1  68.730 479.042 291.349
305 1  501.511 918.078 446.102
306 1  664.052 650.064 763.145
307 1  308.802 12.623 185.615
308 1  999.383 817.561 374.961
309 1  1718.431 1713.581 1107.843
310 1  1466.137 549.085 996.321
311 1  1830.797 1971.977 1193.065
312 1  414.621 809.463 890.554
313 1  461.972 249.754 583.178
314 1  1275.654 1817.157 1047.217
315 1  551.282 574.177 568.332
316 1  107.401 827.719 1009.714
317 1  1483.235 654.467 1443.755
318 1  198.324 830.662 546.021
319 1  771.748 85.126 298.284
320 1  998.815 856.230 227.153
321 1  884.862 955.233 236.990
322 1  513.379 903.955 753.556
323 1  439.519 627.920 771.262
324 1  106.169 1332.329 765.969
325 1  921.844 934.053 1035.139
326 1  1279.589 2528.888 852.987
327 1  167.556 307.988 231.260
328 1  510.798 369.642 520.668
329 1  939.987 335.653 754.920
330 1  524.778 192.463 881.212
331 1  914.044 423.433 830.486
332 1  920.934 109.743 132.142
333 1  1794.871 312.338 1881.629
334 1  794.540 620.277 119.874
335 1  601.122 990.728 476.591
336 1  209.017 674.882 917.501
337 1  639.733 384.716 923.810
338 1  942.340 931.451 130.846
339 1  11.992 995.206 397.200
340 1  2295.176 2261.489 1735.267
341 1  616.323 878.373 449.498
342 1  298.455 835.644 804.637
343 1  1288.315 233.847 1009.932
344 1  1712.008 1565.111 502.265
345 1  510.397 587.297 437.957
346 1  2999.191 1915.476 1114.774
347 1  632.504 344.866 255.861
348 1  2836.128 598.504 1338.649
349 1  623.090 750.562 819.686
350 1  883.074 727.780 342.889
351 1  1108.932 564.272 1215.559
352 1  774.580 850.392 955.371
353 1  1127.141 1493.631 1937.403
354 1  1211.295 1314.012 811.292
355 1  39.081 924.770 173.949
356 1  2819.831 1668.177 1870.450
357 1  366.793 233.929 526.722
358 1  50.066 144.425 1632.784
359 1  717.359 573.337 200.192
360 1  351.443 490.832 162.722
361 1  329.193 749.052 442.466
362 1  2073.427 1029.891 141.823
363 1  615.588 612.257 274.219
364 1  1295.932 357.506 466.922
365 1  1193.045 1642.611 2211.842
366 1  641.711 334.715 730.404
367 1  417.221 954.200 880.064
368 1  1053.443 490.540 306.183
369 1  869.637 634.543 213.671
370 1  529.708 540.577 938.963
371 1  140.668 648.555 444.394
372 1  841.783 1093.309 622.065
373 1  808.528 224.641 991.500
374 1  584.118 648.981 373.411
375 1  706.884 828.301 1119.944
376 1  590.571 1025.582 1002.016
377 1  410.356 795.380 345.598
378 1  559.816 800.464 1002.610
379 1  216.943 2881.952 1428.341
380 1  2655.670 1535.945 1147.703
381 1  965.033 1011.988 1321.494
382 1  844.486 519.730 338.042
383 1  376.288 699.636 300.504
384 1  1825.867 1045.178 1305.461
385 1  753.973 2089.364 2596.141
386 1  827.810 621.784 400.874
387 1  735.256 224.998 829.952
388 1  646.453 514.220 941.592
389 1  932.172 307.116 1037.151
390 1  929.133 1444.292 1782.183
391 1  27.756 2596.604 1662.749
392 1  739.131 574.012 316.511
393 1  815.619 223.852 408.810
394 1  716.138 173.612 682.066
395 1  1334.641 140.986 1494.127
396 1  895.877 282.684 456.455
397 1  469.232 76.277 464.025
398 1  824.364 118.256 919.891
399 1  748.006 962.256 147.301
400 1  489.224 1050.044 249.751
401 1  664.724 176.294 194.061
402 1  235.133 210.875 264.020
403 1  2729.684 1333.762 2861.998
404 1  854.725 294.173 698.249
405 1  197.208 710.352 271.857
406 1  902.192 757.358 1006.617
407 1  98.528 648.636 572.613
408 1  0.000 354.685 948.065
409 1  524.679 240.242 741.828
410 1  460.324 701.692 860.173
411 1  876.178 889.037 450.803
412 1  2797.973 913.627 967.241
413 1  308.457 1090.601 1690.273
414 1  668.353 1127.602 355.463
415 1  872.288 70.982 1118.456
416 1  349.411 896.085 954.032
417 1  968.331 1580.093 1529.602
418 1  426.690 1469.489 876.424
419 1  898.642 913.863 563.891
420 1  683.770 324.304 426.671
421 1  30.861 738.871 627.021
422 1  580.018 449.109 1003.542
423 1  611.302 148.727 100.162
424 1  3.836 849.888 581.084
425 1  838.945 1004.119 540.346
426 1  413.299 873.407 793.171
427 1  659.654 779.397 524.753
428 1  407.030 132.608 544.692
429 1  1322.178 2101.190 266.515
430 1  266.920 128.340 964.241
431 1  98.928 649.686 239.996
432 1  794.644 24.986 552.367
433 1  1212.837 2133.900 776.348
434 1  972.020 374.565 307.306
435 1  1672.153 1510.198 692.529
436 1  680.915 214.684 489.730
437 1  1446.378 437.980 1527.008
438 1  397.330 967.628 441.726
439 1  835.587 605.882 559.420
440 1  281.559 107.523 724.302
441 1  1052.479 782.164 679.240
442 1  844.111 510.756 133.615
443 1  1900.365 1366.496 2742.249
444 1  558.459 684.672 741.407
445 1  1556.924 223.409 1405.527
446 1  290.656 698.600 745.738
447 1  330.489 683.160 1086.198
448 1  222.689 558.783 814.889
449 1  280.000 1009.628 435.508
450 1  1473.661 2174.217 1984.540
451 1  801.756 58.897 823.705
452 1  591.687 842.206 248.701
453 1  804.332 884.888 75.703
454 1  926.242 802.380 556.148
455 1  439.660 270.402 820.640
456 1  906.041 781.876 437.851
457 1  973.655 449.814 387.576
458 1  454.460 948.132 614.705
459 1  716.438 0.015 625.581
460 1  1690.131 809.785 1380.570
461 1  2274.913 1074.290 1883.754
462 1  855.674 407.636 730.885
463 1  134.168 443.837 383.223
464 1  398.412 653.583 447.180
465 1  2614.711 700.386 185.682
466 1  509.931 786.270 785.733
467 1  278.457 1021.779 42.531
468 1  840.628 551.974 666.433
469 1  297.002 870.935 398.627
470 1  106.202 659.988 36.306
471 1  149.896 992.735 606.316
472 1  470.389 687.887 360.500
473 1  916.046 1095.037 519.608
474 1  853.190 6.526 663.555
475 1  233.406 867.201 935.591
476 1  100.247 1079.050 695.167
477 1  88.811 569.233 366.247
478 1  1499.671 2910.800 975.870
479 1  1094.111 508.040 736.071
480 1  619.765 407.826 624.983
481 1  834.615 708.411 711.916
482 1  2209.571 1736.926 732.869
483 1  2921.876 470.733 1396.783
484 1  2791.055 402.218 2285.169
485 1  2310.409 2067.296 449.613
486 1  787.996 2341.330 1017.469
487 1  1264.955 2219.949 928.917
488 1  1773.089 2010.586 44.538
489 1  1030.400 1336.658 2698.395
490 1  81.272 2222.563 672.262
491 1  230.111 963.606 257.064
492 1  191.703 2259.973 393.306
493 1  2309.700 688.653 662.818
494 1  676.190 2683.949 1891.881
495 1  1197.075 1974.767 1852.879
496 1  4.851 2999.339 2711.459
497 1  2999.911 1199.895 2185.074
498 1  753.939 1561.267 2046.475
499 1  1934.931 2672.195 1917.994
500 1  657.796 296.645 2608.644
501 2  2187.787 1046.603 1707.759
502 2  3000.000 3000.000 261.769
503 2  2986.981 2563.355 2.739
504 2  1058.763 2393.132 2999.983
505 2  2789.361 2559.846 0.610
506 2  701.027 1177.661 2260.764
507 2  0.614 2388.594 258.971
508 2  805.812 2999.995 351.950
509 2  1987.076 2999.995 2999.995
510 2  158.002 0.013 0.008
511 2  1242.197 3000.000 504.087
512 2  2688.245 0.000 960.261
513 2  0.000 2091.459 3000.000
514 2  919.233 2491.031 2999.996
515 2  18.670 1117.627 131.236
516 2  2637.744 0.008 2091.612
